Идентификатор,Наименование,Адрес
201748,Piri Piri,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, улица Петровка, дом 23/10, строение 5"
247143,Хлебница пекарня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Текстильщики, Волгоградский проспект, дом 46/15, строение 3А"
357143,Cofe Fest,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Текстильщики, улица Шкулёва, дом 4, строение 10"
345212,Вьетнамская кухня «Вьетлотос»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Теплый Стан, Ленинский проспект, дом 123В"
351864,Кафе «Небеса»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Теплый Стан, Профсоюзная улица, дом 126, корпус 2"
276160,Кафе «VIETDAY»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Теплый Стан, Профсоюзная улица, дом 126, корпус 3"
351860,Кафе «Дагестанская лавка»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Теплый Стан, Профсоюзная улица, дом 126, корпус 3"
352333,Крафтовое пиво «Эль и Стаут»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Теплый Стан, Профсоюзная улица, дом 126, корпус 3"
306476,FERRMERS PIZZERIA,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Теплый Стан, Профсоюзная улица, дом 128, корпус 1"
370288,Пекарня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Теплый Стан, Профсоюзная улица, дом 128, корпус 2"
297802,Алло Пицца,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Теплый Стан, Профсоюзная улица, дом 140"
303919,Бистро «Я люблю шаурму»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Теплый Стан, улица Тёплый Стан, дом 10"
360602,Кофе с собой,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тимирязевский, Дмитровское шоссе, дом 13, корпус 2, строение 4"
345595,One Price Coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тимирязевский, Локомотивный проезд, дом 4"
20193,Кафе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, проспект Вернадского, дом 86Д"
19989,ГудБар,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, проспект Вернадского, дом 97, корпус 1"
360302,Alex fitness KAFE,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, улица 26-ти Бакинских Комиссаров, дом 7, корпус 6"
359516,Кофейня «Счастливчик»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Береговой проезд, дом 5, корпус 2"
288303,Кафе «Black молоко»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Береговой проезд, дом 5А, корпус 1"
348275,Буфет «Хлеб и Помидор»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Береговой проезд, дом 5А, корпус 1"
348446,Островок «Gastrobar»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Береговой проезд, дом 5А, корпус 1"
359101,Кафе «Marie»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Береговой проезд, дом 5А, корпус 1"
350757,Кофейня «Winners»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Большая Филёвская улица, дом 3, корпус 2"
374817,Кофе с собой «Flower Lab»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Большая Филёвская улица, дом 3, корпус 4"
212061,Кафе «Дайнинг Холл»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, улица Барклая, дом 6, строение 5"
256539,Наш Двор,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Инициативная улица, дом 3"
317116,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Кутузовский проспект, дом 76"
241590,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, улица Артамонова, дом 5"
270972,Mad Season,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Зубовский бульвар, дом 15, строение 1"
313422,SUBWAY,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Зубовский бульвар, дом 17, строение 1"
373096,Рестомаркет МДМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Комсомольский проспект, дом 28"
271418,OTIUM Lounge,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Усачёва улица, дом 10, строение 1"
259430,Pinzeria by Bontempi,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, улица Волхонка, дом 16"
320024,Хотабыч кафе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, улица Остоженка, дом 3/14"
357007,Cafe My NEUGHBOURS,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, улица Плющиха, дом 27"
350039,Food market,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, улица Тимура Фрунзе, дом 11, строение 13"
358114,Fat Fish,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, улица Тимура Фрунзе, дом 11, строение 13"
358140,Wave California Poke,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, улица Тимура Фрунзе, дом 11, строение 13"
193093,КОФЕПОРТ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, улица Тимура Фрунзе, дом 22"
162087,Кафе Столовая,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ховрино, Беломорская улица, дом 40"
343735,WOWФЛИ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ховрино, улица Дыбенко, дом 7/1, строение 1"
357340,Zavarnoy,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ховрино, улица Дыбенко, дом 7/1, строение 1"
357342,Grapefruit,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ховрино, улица Дыбенко, дом 7/1, строение 1"
361588,One Price coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ховрино, улица Дыбенко, дом 7/1, строение 1"
365750,CortadoCoffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, улица Паршина, дом 10"
277009,Раковая,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Ходынский бульвар, дом 20А, помещение 84Е"
95230,Tutti frutti,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Ходынский бульвар, дом 4"
309633,Dim Sum & Co,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Ходынский бульвар, дом 4"
311107,Баскин Роббинс,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Ходынский бульвар, дом 4"
311253,Парк Развлечения «Замания»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Ходынский бульвар, дом 4"
311281,Torro Grill,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Ходынский бульвар, дом 4"
331545,Makaronika,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Ходынский бульвар, дом 4"
340551,Krispy Kreme,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Ходынский бульвар, дом 4"
342552,Sabbia кофе на песке,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Ходынский бульвар, дом 4"
311407,Столовая,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Царицыно, Деловая улица, дом 18, строение 1"
29040,ШКОЛА №1466 ОАО «КДП»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Царицыно, Ереванская улица, дом 21"
329853,Пекарня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Царицыно, Кантемировская улица, дом 7, корпус 1"
346712,Кофе с собой,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Царицыно, Пролетарский проспект, дом 14/49, корпус 2"
367234,Шаурма Тандыр,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Царицыно, Севанская улица, дом 23, строение 2"
243792,Папа Джонс,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Черемушки, Научный проезд, дом 2А, строение 1"
302247,Профессор Пуф,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Черемушки, Новочерёмушкинская улица, дом 53А"
253819,Синемапарк,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Черемушки, Профсоюзная улица, дом 61А"
229321,Бедия,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Черемушки, Херсонская улица, дом 20, корпус 1"
309989,FARШ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Черемушки, улица Каховка, дом 29А"
342023,Кофе с собой «Turkish Coffe»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Черемушки, улица Цюрупы, дом 13"
70631,"Предприятие быстрого обслуживания «Ресторанный дворик TEMPO PIZZA, БОН АППЕТИ, KIDS CAFE»","Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Северное, Варшавское шоссе, дом 95, корпус 1"
317495,Cтоловая,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Северное, Сумская улица, дом 2/12"
340043,Кафе «ДОДО ПИЦЦА»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Северное, Чертановская улица, дом 12, корпус 1"
370025,Кафе «Теремок»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Северное, Чертановская улица, дом 1Г"
337755,Чайхана Plov city,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Центральное, 1-й Дорожный проезд, дом 1, строение 2"
372659,Чайхана,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Центральное, Чертановская улица, дом 32, строение 2"
232830,Тануки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Центральное, Чертановская улица, дом 36, строение 1"
302875,Мята Lounge,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Центральное, улица Красного Маяка, дом 2Б"
244986,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Россошанская улица, дом 2, корпус 1"
373520,2MAN Lounge BAR,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Россошанский проезд, дом 3"
357252,Милти,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, улица Подольских Курсантов, дом 10"
375119,Stars Coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, Щукинская улица, дом 42"
375316,Cofix,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Бирюзова, дом 16"
369184,Сушистор,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Бирюзова, дом 28"
372307,Cofix,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Василевского, дом 17"
317645,ВкусВилл кофейня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Малиновского, дом 8"
357062,One price coffee,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Народного Ополчения, дом 45"
296949,Маленький пекарь,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Бутово, Южнобутовская улица, дом 91"
346484,IMNA Lounge,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Бутово, улица Поляны, дом 57"
366818,Кафе-пекарня Хива,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Бутово, улица Поляны, дом 5А, корпус 2"
330471,FREE&CO.,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Медведково, проезд Дежнёва, дом 23"
274762,Кафе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Тушино, Лодочная улица, дом 10"
319015,Легенда Самарканда,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Тушино, Парусный проезд, дом 5, строение 1"
322842,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Тушино, Штурвальная улица, дом 3, строение 1"
254183,Фитнес-бар,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Тушино, проезд Донелайтиса, дом 14"
272613,Булочная №9,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, 1-я Дубровская улица, дом 2Б, корпус 1"
197084,Pho bo San,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, 7-я Кожуховская улица, дом 9"
297028,Coffeeshop Company,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, 7-я Кожуховская улица, дом 9"
280723,Е-ланч,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, Новоостаповская улица, дом 5, строение 3"
308584,ОШ Самса,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, Шарикоподшипниковская улица, дом 11, строение 7"
308603,Якисоба,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, Шарикоподшипниковская улица, дом 11, строение 7"
165000,Папа Джонс,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, Шарикоподшипниковская улица, дом 4, корпус 4А"
266374,Тат&Бургер. ИДЕЛЬ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, Южнопортовая улица, дом 18"
322632,Тандыр.Лаваш.Плов. Шаурма на углях,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, улица Мельникова, дом 16А"
170701,Дабл Би,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, Берсеневская набережная, дом 8, строение 1"
288601,Дабл Би,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, Большой Толмачёвский переулок, дом 4, строение 1"
175913,Cofix,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, Ленинский проспект, дом 2А"
303998,Квартира 7,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, улица Большая Ордынка, дом 68"
328999,Высота 5642,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, улица Большая Якиманка, дом 26"
370763,Blowbar,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, улица Большая Якиманка, дом 32"
328951,Тануки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, улица Большая Якиманка, дом 58/2"
347513,Печорин,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, улица Шаболовка, дом 19"
356009,Кафе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, улица Шаболовка, дом 19"
327933,Бико,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, улица Шаболовка, дом 24"
309552,Пита-бар Meat me,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, улица Шаболовка, дом 29, корпус 2"
325867,Милти,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ярославский, улица Красная Сосна, дом 2А"
372178,Буханка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ярославский, улица Красная Сосна, дом 3"
374143,Кофе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ясенево, Новоясеневский проспект, дом 16, корпус 1"
320051,Кофе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ясенево, проезд Одоевского, дом 11, корпус 7"
310447,КАФЕ,"Российская Федерация, город Москва, внутригородская территория поселение ""Мосрентген"", квартал № 6, дом 10"
227062,Макарон кафе,"Российская Федерация, город Москва, внутригородская территория поселение Внуковское, улица Лётчика Ульянина, земельный участок 7"
371350,Кафе на аллеях,"Российская Федерация, город Москва, внутригородская территория поселение Десеновское, Чароитовая улица, дом 1, корпус 5"
279496,Кофе с тобой,"Российская Федерация, город Москва, внутригородская территория поселение Кокошкино, дачный посёлок Кокошкино, Железнодорожная улица, земельный участок 16"
319803,Харчо семейное кафе,"Российская Федерация, город Москва, внутригородская территория поселение Московский, Саларьевская улица, дом 14, корпус 2"
221526,PivBar,"Российская Федерация, город Москва, внутригородская территория поселение Московский, город Московский, 1-й микрорайон, земельный участок 5Д"
374377,Гриль Град,"Российская Федерация, город Москва, внутригородская территория поселение Московский, город Московский, Солнечная улица, земельный участок 4А"
346655,Греки здесь,"Российская Федерация, город Москва, внутригородская территория поселение Московский, деревня Лапшинка, земельный участок 8Д"
346661,Стейкмания,"Российская Федерация, город Москва, внутригородская территория поселение Московский, деревня Лапшинка, земельный участок 8Д"
228607,Пекарня Шамсутдин,"Российская Федерация, город Москва, внутригородская территория поселение Московский, деревня Румянцево, Центральная улица, земельный участок 120"
273945,Киргизия,"Российская Федерация, город Москва, внутригородская территория поселение Московский, улица Адмирала Корнилова, земельный участок 63"
302943,Семейное кафе Kitchen,"Российская Федерация, город Москва, внутригородская территория поселение Московский, улица Татьянин Парк, дом 14, корпус 4"
245122,Ресторан «Виттория»,"Российская Федерация, город Москва, внутригородская территория поселение Новофедоровское, деревня Яковлевское, земельный участок 122А"
291513,Шаурма,"Российская Федерация, город Москва, внутригородская территория поселение Сосенское, Скандинавский бульвар, дом 23, корпус 1"
283211,Чайхона Рохат,"Российская Федерация, город Москва, внутригородская территория поселение Сосенское, Скандинавский бульвар, дом 6"
368795,Антикафе «КОТОМАНИЯ»,"Российская Федерация, город Москва, внутригородская территория поселение Сосенское, Скандинавский бульвар, дом 6"
325252,До До Пицца,"Российская Федерация, город Москва, внутригородская территория поселение Сосенское, посёлок Коммунарка, улица Александры Монаховой, дом 21, строение 1"
343916,Буханка,"Российская Федерация, город Москва, внутригородская территория поселение Сосенское, посёлок Коммунарка, улица Александры Монаховой, дом 90, корпус 3"
329442,Вкусно - и точка,"Российская Федерация, город Москва, внутригородская территория поселение Сосенское, посёлок Коммунарка, улица Александры Монаховой, дом 93А"
367065,Чайхона Бек,"Российская Федерация, город Москва, внутригородская территория поселение Сосенское, улица Эдварда Грига, дом 17"
287954,Пекарня «Бублик»,"Российская Федерация, город Москва, город Троицк, Городская улица, дом 20"
344107,Шаурма,"Российская Федерация, город Москва, городской округ Троицк, город Троицк, Большая Октябрьская улица, земельный участок 9А"
146615,Додо Пицца,"Российская Федерация, город Москва, городской округ Троицк, город Троицк, Сиреневый бульвар, земельный участок 1Б"
128667,МамаМаi,"Садовая-Каретная улица, дом 4/6, строение 1"
285375,Стамбул Донер Гриль,"Сокольническая площадь, дом 4, корпус 1-2, помещение 4П"
105989,Люди как люди,"Солянский тупик, дом 1/4, строение 2"
323276,Милти,"Старопетровский проезд, дом 1, помещение 8П"
262064,Журавли,"Столешников переулок, дом 14, строение 1"
284311,Крафтовый паб Madpub,"город Зеленоград, Георгиевский проспект, дом 33, корпус 5, помещение 169П"
322000,Вкус детства,"город Зеленоград, Георгиевский проспект, дом 33, корпус 5, помещение 169П"
21422,Столовая лицея 1550,"город Москва, 1-й Боткинский проезд, дом 9"
357057,Столовая «Кухня как дома»,"город Москва, 1-й Вязовский проезд, дом 4, корпус 1"
359128,Столовая,"город Москва, 1-й Грайвороновский проезд, дом 20, строение 35"
339333,Чайхана Нават,"город Москва, 1-й Дорожный проезд, дом 1, корпус 2"
308578,Made in Georgia,"город Москва, 1-й Красногвардейский проезд, дом 19"
166994,Кафе «Hudson Deli»,"город Москва, 1-й Красногвардейский проезд, дом 21, строение 2"
358989,Кафе,"город Москва, 1-й Митинский переулок, дом 25"
148402,Ресторан «Хинкали. Вино. Мимино»,"город Москва, 1-й Нагатинский проезд, дом 11, корпус 3"
27581,При школе 1797,"город Москва, 1-я Гражданская улица, дом 96"
244808,Плов-Бокс,"город Москва, 1-я Квесисская улица, дом 18"
371251,Кофе с собой,"город Москва, 1-я Квесисская улица, дом 18"
373742,Кофеттория,"город Москва, 1-я Мясниковская улица, дом 2"
243762,Пекарня,"город Москва, 1-я Останкинская улица, дом 53"
27171,PIVBAR,"город Москва, 1-я Тверская-Ямская улица, дом 2, строение 1"
25452,Кофемания,"город Москва, 1-я Тверская-Ямская улица, дом 21"
20618,HELP and FRIEND,"город Москва, 1-я Тверская-Ямская улица, дом 27"
263279,Кафе домашняя еда,"город Москва, 2-й Балтийский переулок, дом 3А, строение 2"
23505,Home,"город Москва, 2-й Южнопортовый проезд, дом 27А, строение 2"
83921,Прайм,"город Москва, 2-я Брестская улица, дом 8"
203440,Пекарня Империя Вкуса,"город Москва, 2-я Карачаровская улица, дом 6/16"
322361,Лаванда,"город Москва, 2-я Квесисская улица, дом 25"
248196,Столовая,"город Москва, 2-я Фрезерная улица, дом 14, строение 1Г"
304108,Tigger Bunni,"город Москва, 2-я Черногрязская улица, дом 6, корпус 2"
306309,МСК,"город Москва, 3-й Нижнелихоборский проезд, дом 3"
332079,Шаурма,"город Москва, 3-й Новомихалковский проезд, дом 9"
21448,буфет при ММГ,"город Москва, 3-я Владимирская улица, дом 5"
246362,Выпечка,"город Москва, 3-я Парковая улица, дом 41А"
162259,Russian Media Cafe,"город Москва, 3-я Хорошёвская улица, дом 12"
230433,Шаурма,"город Москва, 3-я улица Ямского Поля, дом 13"
284609,Бар Бизи,"город Москва, 3-я улица Ямского Поля, дом 2, корпус 12"
127917,Прайм,"город Москва, 4-й Лесной переулок, дом 4"
311255,Донер Дог,"город Москва, 4-я Магистральная улица, дом 5, строение 1"
364821,Кофе с собой,"город Москва, 5-й Донской проезд, дом 15, строение 16"
21575,При Технологическом коледже 21,"город Москва, 5-й проезд Подбельского, дом 2"
29310,Столовая в школе № 2129,"город Москва, 5-я Кожуховская улица, дом 15"
282310,Время кофе,"город Москва, 5-я Магистральная улица, дом 5"
157323,В окошках,"город Москва, 5-я Парковая улица, дом 25"
21419,Столовая гимназии 1570,"город Москва, 5-я улица Ямского Поля, дом 28"
23419,СТОЛОВАЯ КСЦ «ПЕРЕДЕЛКИНО»,"город Москва, 6-я улица Лазенки, дом 2, строение 2"
256100,Южный дворик,"город Москва, 7-я Кожуховская улица, дом 13/4"
197106,Шашлыкоff,"город Москва, 7-я Кожуховская улица, дом 9"
200184,Милти,"город Москва, 7-я Кожуховская улица, дом 9"
20059,Якитория,"город Москва, 73-й километр Московской Кольцевой Автодороги, дом 7"
145283,Кафетерий при АЗК 317,"город Москва, 87-й километр Московской Кольцевой Автодороги, владение 14"
195012,Subway,"город Москва, 9-я Парковая улица, дом 27"
229035,Мельница,"город Москва, 9-я Парковая улица, дом 27"
319163,Cofix Club,"город Москва, 9-я Парковая улица, дом 27"
242789,"Шашлыки, выпечка, шаурма","город Москва, Абрамцевская улица, дом 1"
161793,Домино'с Пицца,"город Москва, Абрамцевская улица, дом 30, строение 6"
23394,Кафе Гогиели,"город Москва, Авиамоторная улица, дом 49/1"
20957,Буфет МТУСИ,"город Москва, Авиамоторная улица, дом 8, строение 1"
28858,Столовая МТУСИ,"город Москва, Авиамоторная улица, дом 8, строение 1"
297265,Грузины Любят,"город Москва, Авиационная улица, дом 66"
27896,Столовая,"город Москва, Авиационный переулок, дом 5"
137415,ТЕРЕМОК,"город Москва, Автозаводская улица, дом 18"
176968,Кафе мороженного «Tutti Frutti»,"город Москва, Автозаводская улица, дом 18"
220435,Star Hit Cafe,"город Москва, Автозаводская улица, дом 18"
283209,Кафе-столовая,"город Москва, Автозаводская улица, дом 23, строение 2"
179936,Кафе «ФО-НЭМ»,"город Москва, Азовская улица, дом 18"
29375,Буфет Школа № 536,"город Москва, Азовская улица, дом 41"
320205,Кафетерий при АЗС,"город Москва, Алтуфьевское шоссе, дом 106"
147222,Корнер Гриль,"город Москва, Алтуфьевское шоссе, дом 16"
205674,Кофе с собой,"город Москва, Алтуфьевское шоссе, дом 27"
246306,Едаки lunch,"город Москва, Алтуфьевское шоссе, дом 31, строение 1"
315008,Мята Кибер,"город Москва, Алтуфьевское шоссе, дом 8"
150783,СушиШоп,"город Москва, Алтуфьевское шоссе, дом 84"
21577,При школе 1797,"город Москва, Алымов переулок, дом 15"
25270,Ресторан «Луснар»,"город Москва, Амурская улица, дом 12А"
